Абакан	Республика Хакасия
Альметьевск	Республика Татарстан
Ангарск		Иркутская область
Арзамас	103 979	103 930	49	0,05	Нижегородская область
Армавир	188 960	190 205	- 1 245	- 0,65	Краснодарский край
Артем	105 675	106 460	- 785	- 0,74	Приморский край
7	г. Архангельск	346 979	348 343	- 1 364	- 0,39
Архангельская обл. без НАО
8	г. Астрахань	529 793	534 241	- 4 448	- 0,83	Астраханская область
9	г. Ачинск	105 531	105 092	439	0,42	Красноярский край
10	г. Балаково	187 523	188 489	- 966	- 0,51	Саратовская область
11	г. Балашиха	507 366	490 047	17 319	3,53	Московская область
12	г. Барнаул	632 391	632 723	- 332	- 0,05	Алтайский край
13	г. Батайск	127 919	127 654	265	0,21	Ростовская область
14	г. Белгород	394 142	392 426	1 716	0,44	Белгородская область
15	г. Бердск	104 334	104 237	97	0,09	Новосибирская область
16	г. Березники	139 209	141 276	- 2 067	- 1,46	Пермский край
17	г. Бийск	199 464	200 629	- 1 165	- 0,58	Алтайский край
18	г. Благовещенск	226 385	225 810	575	0,25	Амурская область
19	г. Братск	226 269	227 467	- 1 198	- 0,53	Иркутская область
20	г. Брянск	402 675	404 793	- 2 118	- 0,52	Брянская область
21	г. Великий Новгород	224 936	224 297	639	0,28	Новгородская область
22	г. Владивосток	606 561	605 049	1 512	0,25	Приморский край
23	г. Владикавказ	303 597	304 897	- 1 300	- 0,43	Респ. Сев. Осетия-Алания
24	г. Владимир	356 937	357 907	- 970	- 0,27	Владимирская область
25	г. Волгоград	1 008 998	1 013 468	- 4 470	- 0,44	Волгоградская область
26	г. Волгодонск	171 406	171 952	- 546	- 0,32	Ростовская область
27	г. Волжский	323 906	323 604	302	0,09	Волгоградская область
28	г. Вологда	310 302	311 846	- 1 544	- 0,50	Вологодская область
29	г. Воронеж	1 058 261	1 054 111	4 150	0,39	Воронежская область
30	г. Грозный	305 911	301 253	4 658	1,55	Чеченская Республика
31	г. Дербент	125 832	124 677	1 155	0,93	Республика Дагестан
32	г. Дзержинск	229 000	229 470	- 470	- 0,20	Нижегородская область
33	г. Димитровград	113 472	114 229	- 757	- 0,66	Ульяновская область
34	г. Долгопрудный	116 038	112 007	4 031	3,60	Московская область
35	г. Домодедово	137 160	133 528	3 632	2,72	Московская область
36	г. Евпатория	108 248	107 650	598	0,56	Республика Крым
37	г. Екатеринбург	1 493 749	1 483 119	10 630	0,72	Свердловская область
38	г. Елец	102 313	103 179	- 866	- 0,84	Липецкая область
39	г. Ессентуки	113 056	110 479	2 577	2,33	Ставропольский край
40	г. Железногорск	100 446	100 499	- 53	- 0,05	Курская область
41	г. Жуковский	107 560	107 922	- 362	- 0,34	Московская область
42	г. Зеленодольск	100 039	99 743	296	0,30	Республика Татарстан
43	г. Златоуст	163 919	165 375	- 1 456	- 0,88	Челябинская область
44	г. Иваново	404 598	405 053	- 455	- 0,11	Ивановская область
45	г. Ижевск	648 146	648 944	- 798	- 0,12	Удмуртская Республика
46	г. Иркутск	623 562	623 479	83	0,01	Иркутская область
47	г. Йошкар-Ола	274 715	271 868	2 847	1,05	Республика Марий Эл
48	г. Казань	1 257 391	1 251 969	5 422	0,43	Республика Татарстан
